store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
18100,현수산회도매and물회,대구광역시 동구 각산동,"카페,디저트>카페",,제주특별자치도 서귀포시 안덕면 서광리 1791 커피프렌즈 촬영지,제주특별자치도 서귀포시 안덕면 중산간서로 2026,242542,78256,,,X
18402,베이프 캠프 기흥점,경기도 용인시 기흥구 상하동,,,,,,,,,X
18679,홍짜장 명일점,서울특별시 강동구 명일동,,,,,,,,,X
19046,남성컷트클럽,대전광역시 대덕구 비래동,,,,,,,,,X
19051,헤스,경기도 의정부시 의정부동,"쇼핑,유통>판촉,기념품",,경상남도 창원시 성산구 중앙동 93-1,경상남도 창원시 성산구 중앙대로 111 평화상가오피스텔 1014호,462077,291986,,http://ziongift.net,X
19213,부라더키친 장안팔달점,경기도 수원시 장안구 정자동,,,,,,,,,X
19301,오토로그,광주광역시 광산구 하남동,음식점>피자,,경상남도 합천군 합천읍 합천리 549-3,경상남도 합천군 합천읍 동서로 47,414495,329782,,,X
19387,목로집,경상남도 양산시 물금읍 가촌리,,,,,,,,,X
19489,최철중수학학원,울산광역시 울주군 온양읍 대안리,,,,,,,,,X
19693,힘찬학당 애리조나스쿨,전라남도 광양시 마동,,,,,,,,,X
19733,카이로스영수학원,대전광역시 중구 유천동,"음식점>카페,디저트",,대구광역시 달서구 감삼동 101-17,대구광역시 달서구 감삼북길 82 1층,449350,361500,,http://instagram.com/kkam__1204,X
19748,오 도봉인테리어,서울특별시 도봉구 도봉동,"생활,편의>편의점",,세종특별자치시 연기면 세종리 904,세종특별자치시 연기면 수목원로 212-24,336699,433096,,http://www.emart24.co.kr,X
20422,꼬치1호,경기도 부천시 역곡동,,,,,,,,,X
20824,씬,서울특별시 용산구 이태원동,"생활,편의>편의점",,충청북도 제천시 금성면 구룡리 466-45,충청북도 제천시 금성면 청풍호로 1020,415051,495855,,http://www.ministop.co.kr/,X
20926,타임리스디자인,강원도 원주시 단구동,,,,,,,,,X
21065,윤선생 우리집앞 영어교실 강동초 공부방,대구광역시 동구 신서동,,,,,,,,,X
21105,초원즉석두부,서울특별시 강동구 상일동,한식>닭발,,광주광역시 서구 풍암동 954-2,광주광역시 서구 풍암운리로 16,296825,281013,,,X
21131,카페051 남양점,경상남도 창원시 성산구 남양동,,,,,,,,,X
21185,바사삭치킨강정 대신부민점,부산광역시 서구 동대신동2가,음식점>한식,,서울특별시 양천구 목동 917,서울특별시 양천구 목동서로 155 지1층 42호,300773,548126,,,X
21237,신일장 모텔,경상남도 창녕군 창녕읍 술정리,,,,,,,,,X
21266,별피부샵,경기도 안양시 동안구 관양동,술집>요리주점,,경기도 성남시 중원구 금광동 3096,경기도 성남시 중원구 금빛로59번길 2 지하1층 아는형네,326492,538670,,,X
21316,팜네트워크,인천광역시 연수구 송도동,,,,,,,,,X
21371,미콩커피 대흥동점,대전광역시 중구 대흥동,"음식점>카페,디저트",,서울특별시 강서구 마곡동 791-9,서울특별시 강서구 마곡중앙8로 85 101호 ,297443,551623,,,X
21399,베라카커피,인천광역시 서구 청라동,"생활,편의>공방",,울산광역시 남구 야음동 622-42,울산광역시 남구 대암로90번길 7-11 1층,520456,326339,,http://instagram.com/_studio.ecke,X
21563,정토건,전라남도 완도군 청산면 도청리,어학원>영어학원,,서울특별시 성동구 성수2가3동 289-4,서울특별시 성동구 아차산로7길 28 성수쇼핑센타,316732,549901,,http://www.gnbenglish.com/,X
21703,야옹아멍멍해봐(평거점),경상남도 진주시 평거동,,,,,,,,,X
21844,배떡 갈마점,대전광역시 서구 갈마동,,,,,,,,,X
21946,론드,충청남도 아산시 남동,분식>김밥,,울산광역시 북구 산하동 509-1,울산광역시 북구 강동산하2로 7 301동 1층 101호,530736,337257,,,X
22232,하이콜라(Hi.cola),전라남도 나주시 금계동,,,,,,,,,X
22277,공순대,부산광역시 영도구 영선동2가,,,,,,,,,X
22335,구립인지어린이집,대구광역시 서구 비산동,,,,,,,,,X
22367,하늘숲미술보습학원,경기도 광명시 하안동,,,,,,,,,X
22695,하옹촌재첩,경상남도 하동군 하동읍 읍내리,"생활,편의>공방",,부산광역시 부산진구 전포동 664-7 2층 205호,부산광역시 부산진구 서전로37번길 26 2층 205호,497152,284972,,https://www.instagram.com/ranotte_j,X
22897,덕인당인삼,서울특별시 동대문구 제기동,,,,,,,,,X
22997,반송시장상인회,경상남도 창원시 성산구 반림동,,,,,,,,,X
23090,J푸드,인천광역시 서구 검암동,,,,,,,,,X
23120,미쓰발랑코인천시청점,인천광역시 남동구 구월동,"병원,의원>산부인과",,대전광역시 유성구 봉명동 1016-3,대전광역시 유성구 계룡로 114,341225,417092,,https://m.blog.naver.com/happyofwomen78,X
23234,더블유알헤어살롱,충청남도 천안시 서북구 불당동,,,,,,,,,X
23328,엠에스텍.(MS Tech.),경기도 포천시 소흘읍 무림리,,,,,,,,,X
23478,피자알볼로 마장양지점,경기도 이천시 마장면,"쇼핑,유통>종합생활용품",,인천광역시 서구 청라동 165-12 지젤엠청라 A동 1층 46호,인천광역시 서구 청라에메랄드로 99 지젤엠청라 A동 1층 46호,281390,548788,,http://www.moonsol.kr,X
23623,더드리계,서울특별시 송파구 삼전동,"음식점>치킨,닭강정",,서울특별시 영등포구 신길동 4937,서울특별시 영등포구 신길로 119,303791,545123,,http://www.bhc.co.kr/,X
23719,HVILE,강원도 원주시 단계동,분식>떡볶이,,세종특별자치시 조치원읍 신흥리 1-27,"세종특별자치시 조치원읍 신흥사길 1 ,101호(제이케이빌딩)",337148,444326,,,X
23784,보원이앤지,부산광역시 금정구 서동,"건강,의료>약국",,서울특별시 마포구 도화동 221,서울특별시 마포구 삼개로5안길 17,307379,549271,,,X
23811,신구멍가게24 초당점,강원도 강릉시 초당동,,,,,,,,,X
